Customer ID,Name,Age,Gender,Contact Number,Item Purchased,Category,Price per kg,Quantity Purchased,Total Price
CUST0001,Meera Verma,34,Male,+918913004207,Tomato,Vegetable,77.4,1,77.4
CUST0002,Deepa Gowda,59,Male,+918370573381,Spinach,Vegetable,126.48,1,126.48
CUST0003,Deepa Mishra,27,Male,+917678622924,Capsicum,Vegetable,25.12,3,75.36
CUST0004,Sneha Sharma,37,Male,+919926500849,Cauliflower,Vegetable,57.02,3,171.06
CUST0005,Neha Gowda,23,Male,+919054029588,Onion,Vegetable,79.05,4,316.2
CUST0006,Vikram Joshi,26,Male,+919711541201,Onion,Vegetable,33.66,2,67.32
CUST0007,Ravi Mishra,52,Female,+917772697125,Papaya,Fruit,109.17,3,327.51
CUST0008,Deepa Desai,48,Female,+918945974954,Tomato,Vegetable,89.15,2,178.3
CUST0009,Vikram Desai,70,Female,+917954824046,Capsicum,Vegetable,137.99,2,275.98
CUST0010,Sneha Gowda,43,Male,+919277425758,Watermelon,Fruit,51.38,5,256.9
CUST0011,Raj Sharma,60,Female,+918176445439,Cauliflower,Vegetable,28.27,2,56.54
CUST0012,Sunita Patil,18,Male,+918022026966,Cauliflower,Vegetable,27.06,5,135.3
CUST0013,Amit Sharma,60,Female,+919050821967,Mango,Fruit,44.99,3,134.97
CUST0014,Arjun Iyer,40,Female,+917665842118,Capsicum,Vegetable,93.57,5,467.85
CUST0015,Sunita Verma,25,Male,+918181535524,Watermelon,Fruit,129.23,2,258.46
CUST0016,Kumar Iyer,44,Female,+919846966220,Spinach,Vegetable,130.49,3,391.47
CUST0017,Arjun Sharma,66,Male,+919664773991,Grapes,Fruit,81.41,4,325.64
CUST0018,Meera Sharma,39,Male,+917702896745,Guava,Fruit,127.83,3,383.49
CUST0019,Arjun Mishra,61,Female,+917665744079,Grapes,Fruit,67.52,1,67.52
CUST0020,Vikram Gowda,43,Male,+918141566533,Tomato,Vegetable,54.42,3,163.26
CUST0021,Meera Sharma,30,Female,+917577191243,Mango,Fruit,99.25,5,496.25
CUST0022,Amit Desai,48,Male,+919057076773,Papaya,Fruit,83.88,3,251.64
CUST0023,Meera Sharma,51,Male,+917610767132,Cauliflower,Vegetable,140.11,5,700.55
CUST0024,Deepa Desai,63,Female,+918498910973,Pumpkin,Vegetable,68.33,5,341.65
CUST0025,Neha Sharma,50,Female,+917137506565,Cauliflower,Vegetable,101.21,3,303.63
CUST0026,Vikram Mishra,35,Male,+918748951731,Cauliflower,Vegetable,54.59,1,54.59
CUST0027,Suresh Naidu,49,Male,+917032731135,Pomegranate,Fruit,21.5,4,86.0
CUST0028,Deepa Naidu,44,Male,+919144419609,Guava,Fruit,23.19,5,115.95
CUST0029,Kumar Mishra,26,Female,+919545093874,Pomegranate,Fruit,42.68,2,85.36
CUST0030,Meera Gowda,18,Male,+917893475716,Cauliflower,Vegetable,41.74,2,83.48
CUST0031,Meera Gowda,68,Female,+918660566686,Brinjal,Vegetable,38.77,4,155.08
CUST0032,Sneha Mishra,49,Male,+919177190504,Apple,Fruit,50.81,5,254.05
CUST0033,Priya Patil,45,Female,+918227061473,Guava,Fruit,89.14,4,356.56
CUST0034,Ravi Gowda,66,Female,+917873786112,Tomato,Vegetable,60.89,1,60.89
CUST0035,Kiran Joshi,36,Female,+917395124182,Tomato,Vegetable,105.31,2,210.62
CUST0036,Meera Naidu,42,Male,+918246267273,Capsicum,Vegetable,104.93,2,209.86
CUST0037,Ravi Verma,62,Female,+919313039945,Carrot,Vegetable,77.7,2,155.4
CUST0038,Raj Naidu,26,Male,+917081907379,Apple,Fruit,141.76,2,283.52
CUST0039,Priya Verma,26,Female,+918037729834,Spinach,Vegetable,81.82,4,327.28
CUST0040,Meera Sharma,39,Male,+919830535327,Watermelon,Fruit,104.53,1,104.53
CUST0041,Arjun Gowda,57,Male,+919786124483,Pomegranate,Fruit,140.9,3,422.7
CUST0042,Deepa Desai,55,Female,+917684149331,Pineapple,Fruit,107.23,1,107.23
CUST0043,Anil Iyer,66,Male,+918694776714,Banana,Fruit,136.65,2,273.3
CUST0044,Arjun Sharma,57,Female,+919673274793,Potato,Vegetable,86.19,3,258.57
CUST0045,Kiran Joshi,69,Male,+919523642037,Brinjal,Vegetable,145.26,5,726.3
CUST0046,Ravi Naidu,51,Female,+919047477950,Mango,Fruit,112.98,2,225.96
CUST0047,Kiran Mishra,53,Male,+918952109235,Apple,Fruit,104.76,4,419.04
CUST0048,Arjun Verma,57,Female,+918853584140,Spinach,Vegetable,89.45,3,268.35
CUST0049,Sunita Mishra,56,Male,+919257766581,Brinjal,Vegetable,45.63,5,228.15
CUST0050,Meera Verma,68,Female,+918822547068,Guava,Fruit,147.85,5,739.25
CUST0051,Neha Desai,26,Male,+918902151767,Cabbage,Vegetable,72.33,5,361.65
CUST0052,Vikram Desai,46,Male,+918662861648,Spinach,Vegetable,87.17,4,348.68
CUST0053,Sneha Joshi,38,Female,+919674953421,Brinjal,Vegetable,80.69,2,161.38
CUST0054,Raj Desai,29,Female,+918335404532,Brinjal,Vegetable,22.89,2,45.78
CUST0055,Priya Naidu,22,Female,+918734409945,Pineapple,Fruit,126.64,3,379.92
CUST0056,Neha Gowda,52,Female,+917220936962,Spinach,Vegetable,22.9,1,22.9
CUST0057,Ravi Desai,36,Female,+918971898131,Grapes,Fruit,57.23,3,171.69
CUST0058,Neha Naidu,32,Male,+919033320244,Potato,Vegetable,41.24,1,41.24
CUST0059,Ravi Gowda,29,Male,+917775493838,Spinach,Vegetable,43.55,5,217.75
CUST0060,Meera Sharma,63,Male,+919647482125,Spinach,Vegetable,54.23,1,54.23
CUST0061,Arjun Patil,21,Male,+917342501443,Capsicum,Vegetable,142.84,1,142.84
CUST0062,Amit Joshi,37,Female,+919459291034,Mango,Fruit,81.49,2,162.98
CUST0063,Ravi Mishra,65,Male,+919371545671,Mango,Fruit,75.26,1,75.26
CUST0064,Deepa Joshi,31,Male,+917727624416,Carrot,Vegetable,97.06,1,97.06
CUST0065,Amit Gowda,70,Male,+917242974733,Banana,Fruit,33.09,4,132.36
CUST0066,Sneha Joshi,27,Male,+919458078028,Capsicum,Vegetable,65.06,1,65.06
CUST0067,Amit Gowda,67,Female,+919486966566,Brinjal,Vegetable,66.81,4,267.24
CUST0068,Arjun Gowda,58,Female,+919178629011,Guava,Fruit,24.56,2,49.12
CUST0069,Kumar Joshi,51,Female,+917945931896,Guava,Fruit,78.94,1,78.94
CUST0070,Suresh Naidu,26,Male,+919484594282,Cabbage,Vegetable,85.84,3,257.52
CUST0071,Neha Iyer,62,Female,+917137176327,Cabbage,Vegetable,127.16,3,381.48
CUST0072,Arjun Joshi,64,Male,+919913198036,Spinach,Vegetable,47.19,2,94.38
CUST0073,Neha Sharma,54,Female,+918270098146,Tomato,Vegetable,145.59,1,145.59
CUST0074,Arjun Mishra,52,Male,+918452071011,Apple,Fruit,149.36,3,448.08
CUST0075,Kumar Mishra,47,Male,+919633368500,Pumpkin,Vegetable,144.47,1,144.47
CUST0076,Priya Sharma,29,Male,+919585290945,Potato,Vegetable,117.09,3,351.27
CUST0077,Priya Desai,41,Male,+918230830315,Potato,Vegetable,26.63,3,79.89
CUST0078,Kumar Joshi,61,Female,+919599491731,Capsicum,Vegetable,81.12,4,324.48
CUST0079,Amit Mishra,66,Male,+918267287082,Cabbage,Vegetable,55.79,5,278.95
CUST0080,Meera Mishra,27,Female,+918566085666,Cauliflower,Vegetable,111.72,3,335.16
CUST0081,Priya Mishra,67,Male,+918622664084,Potato,Vegetable,100.74,2,201.48
CUST0082,Kumar Verma,43,Male,+919675371983,Cabbage,Vegetable,149.0,4,596.0
CUST0083,Arjun Patil,32,Female,+917094902815,Carrot,Vegetable,41.62,5,208.1
CUST0084,Sneha Mishra,47,Female,+918039383529,Pumpkin,Vegetable,61.5,3,184.5
CUST0085,Raj Naidu,42,Male,+918363406667,Papaya,Fruit,83.7,4,334.8
CUST0086,Sunita Verma,25,Female,+917029740330,Spinach,Vegetable,85.22,1,85.22
CUST0087,Meera Desai,24,Male,+917322951893,Pineapple,Fruit,80.5,2,161.0
CUST0088,Raj Patil,61,Male,+918614847915,Pineapple,Fruit,114.93,5,574.65
CUST0089,Raj Patil,55,Male,+918718865455,Pumpkin,Vegetable,36.01,3,108.03
CUST0090,Meera Naidu,18,Male,+919930596796,Capsicum,Vegetable,93.87,1,93.87
CUST0091,Sunita Sharma,38,Female,+917555079641,Grapes,Fruit,54.71,3,164.13
CUST0092,Kumar Iyer,66,Male,+918791797759,Potato,Vegetable,27.37,2,54.74
CUST0093,Ravi Naidu,44,Male,+918678038427,Potato,Vegetable,129.47,4,517.88
CUST0094,Deepa Reddy,54,Female,+919413110317,Cabbage,Vegetable,38.1,4,152.4
CUST0095,Deepa Desai,55,Male,+919791730343,Banana,Fruit,127.56,2,255.12
CUST0096,Deepa Sharma,24,Male,+918147291561,Capsicum,Vegetable,43.7,5,218.5
CUST0097,Ravi Patil,50,Female,+918985819434,Orange,Fruit,130.87,5,654.35
CUST0098,Priya Mishra,18,Female,+917869283519,Pumpkin,Vegetable,49.74,5,248.7
CUST0099,Priya Reddy,37,Female,+919704208012,Tomato,Vegetable,21.97,1,21.97
CUST0100,Neha Joshi,65,Male,+917310101754,Watermelon,Fruit,124.79,5,623.95
CUST0101,Anil Verma,70,Female,+918526079123,Cauliflower,Vegetable,92.26,4,369.04
CUST0102,Vikram Gowda,69,Male,+919138977249,Pumpkin,Vegetable,43.53,5,217.65
CUST0103,Kiran Verma,28,Female,+917518077056,Tomato,Vegetable,56.24,1,56.24
CUST0104,Raj Gowda,40,Male,+918697887553,Guava,Fruit,27.41,1,27.41
CUST0105,Sneha Mishra,28,Female,+918065584597,Potato,Vegetable,27.59,2,55.18
CUST0106,Arjun Mishra,49,Female,+918283710601,Grapes,Fruit,135.15,5,675.75
CUST0107,Vikram Naidu,61,Male,+918876727390,Brinjal,Vegetable,79.25,5,396.25
CUST0108,Raj Iyer,27,Male,+917041157592,Onion,Vegetable,127.38,5,636.9
CUST0109,Vikram Mishra,64,Male,+917375355072,Potato,Vegetable,103.03,2,206.06
CUST0110,Amit Reddy,18,Female,+919591237491,Orange,Fruit,129.63,3,388.89
CUST0111,Kiran Verma,18,Male,+918860005045,Carrot,Vegetable,42.24,2,84.48
CUST0112,Arjun Desai,45,Female,+918018478462,Banana,Fruit,27.72,1,27.72
CUST0113,Priya Naidu,39,Female,+917790725842,Spinach,Vegetable,90.67,1,90.67
CUST0114,Meera Iyer,37,Female,+917406317701,Apple,Fruit,111.31,1,111.31
CUST0115,Neha Sharma,52,Female,+918842571861,Tomato,Vegetable,89.77,4,359.08
